Jornada,Local,Visitante,Resultado,Differencia Gol,Ganador,Año
1,Real Madrid,Valencia,2:0,2,Real Madrid,1970/1971
1,Las Palmas,Atlético,1:1,0,Empate,1970/1971
1,Athletic,Barcelona,1:1,0,Empate,1970/1971
1,Espanyol,Sevilla,0:1,1,Sevilla,1970/1971
1,CE Sabadell,Real Sociedad,0:0,0,Empate,1970/1971
1,Celta,Sporting,2:0,2,Celta,1970/1971
1,Zaragoza,Málaga,0:0,0,Empate,1970/1971
1,Elche,Granada,1:1,0,Empate,1970/1971
2,Valencia,Las Palmas,5:1,4,Valencia,1970/1971
2,Barcelona,Zaragoza,5:2,3,Barcelona,1970/1971
2,Sporting,CE Sabadell,3:2,1,Sporting,1970/1971
2,Málaga,Celta,2:1,1,Málaga,1970/1971
2,Atlético,Athletic,2:0,2,Atlético,1970/1971
2,Sevilla,Real Madrid,3:1,2,Sevilla,1970/1971
2,Granada,Espanyol,1:0,1,Granada,1970/1971
2,Real Sociedad,Elche,2:0,2,Real Sociedad,1970/1971
3,Real Madrid,Granada,3:2,1,Real Madrid,1970/1971
3,Valencia,Sevilla,0:1,1,Sevilla,1970/1971
3,Las Palmas,Athletic,1:1,0,Empate,1970/1971
3,CE Sabadell,Málaga,5:2,3,CE Sabadell,1970/1971
3,Elche,Sporting,5:0,5,Elche,1970/1971
3,Espanyol,Real Sociedad,0:0,0,Empate,1970/1971
3,Celta,Barcelona,1:1,0,Empate,1970/1971
3,Zaragoza,Atlético,0:1,1,Atlético,1970/1971
4,Athletic,Zaragoza,3:0,3,Athletic,1970/1971
4,Atlético,Celta,3:1,2,Atlético,1970/1971
4,Málaga,Elche,1:0,1,Málaga,1970/1971
4,Granada,Valencia,2:2,0,Empate,1970/1971
4,Real Sociedad,Real Madrid,0:0,0,Empate,1970/1971
4,Sporting,Espanyol,0:1,1,Espanyol,1970/1971
4,Las Palmas,Sevilla,0:0,0,Empate,1970/1971
4,Barcelona,CE Sabadell,4:1,3,Barcelona,1970/1971
5,CE Sabadell,Atlético,0:2,2,Atlético,1970/1971
5,Sevilla,Granada,1:0,1,Sevilla,1970/1971
5,Espanyol,Málaga,1:1,0,Empate,1970/1971
5,Real Madrid,Sporting,1:1,0,Empate,1970/1971
5,Valencia,Real Sociedad,0:0,0,Empate,1970/1971
5,Celta,Athletic,2:1,1,Celta,1970/1971
5,Elche,Barcelona,0:1,1,Barcelona,1970/1971
5,Zaragoza,Las Palmas,1:1,0,Empate,1970/1971
6,Atlético,Elche,3:1,2,Atlético,1970/1971
6,Sporting,Valencia,0:1,1,Valencia,1970/1971
6,Barcelona,Espanyol,3:0,3,Barcelona,1970/1971
