Jornada,Equipo,ELO
1,Betis,1381.63
1,Athletic,1534.7
1,Real Madrid,1761.78
1,Zaragoza,1595.14
1,Hércules CF,1061.96
1,Barcelona,1560.57
1,Real Racing,1321.52
1,Celta,1096.89
1,Sevilla,1398.43
1,Valencia,1597.25
1,Atlético,1628.23
1,Espanyol,1417.71
1,Real Murcia,1360.14
1,Real Oviedo,1339.46
1,Granada,1216.14
1,Deportivo,1278.75
1,Real Sociedad,1350.74
1,CD Castellón,871.86
1,CE Sabadell,955.72
1,Sporting,1099.84
1,CD Alcoyano,924.12
1,Gimnàstic de Tarragona,952.8
1,Valladolid,1292.06
1,Málaga,1223.73
1,UE Lleida,905.63
1,Atlético Tetuán,1038.93
1,Las Palmas,1372.78
1,Real Jaén,1151.71
1,Osasuna,1387.64
1,Alavés,1150.92
1,CyD Leonesa,1081.04
1,CD Condal,1220.91
1,Elche,1503.3
1,Mallorca,1386.83
1,Tenerife,1293.71
1,Córdoba,1500.48
1,Pontevedra CF,1347.78
1,Levante,1362.17
2,Betis,1378.72
2,Athletic,1491.69
2,Real Madrid,1764.69
2,Zaragoza,1587.61
2,Hércules CF,1061.96
2,Barcelona,1561.93
2,Real Racing,1321.52
2,Celta,1096.89
2,Sevilla,1403.0
2,Valencia,1600.26
2,Atlético,1647.12
2,Espanyol,1425.24
2,Real Murcia,1360.14
2,Real Oviedo,1339.46
2,Granada,1216.14
2,Deportivo,1278.75
2,Real Sociedad,1350.74
2,CD Castellón,871.86
2,CE Sabadell,954.36
2,Sporting,1099.84
2,CD Alcoyano,924.12
2,Gimnàstic de Tarragona,952.8
2,Valladolid,1292.06
2,Málaga,1220.72
2,UE Lleida,905.63
2,Atlético Tetuán,1038.93
2,Las Palmas,1345.11
2,Real Jaén,1151.71
2,Osasuna,1387.64
2,Alavés,1150.92
2,CyD Leonesa,1081.04
2,CD Condal,1220.91
2,Elche,1484.41
2,Mallorca,1414.5
2,Tenerife,1293.71
2,Córdoba,1495.91
2,Pontevedra CF,1390.79
2,Levante,1362.17
3,Betis,1363.82
3,Athletic,1510.47
3,Real Madrid,1767.69
3,Zaragoza,1564.5
3,Hércules CF,1061.96
3,Barcelona,1576.83
3,Real Racing,1321.52
3,Celta,1096.89
3,Sevilla,1412.7
3,Valencia,1581.48
3,Atlético,1637.42
3,Espanyol,1401.27
3,Real Murcia,1360.14
3,Real Oviedo,1339.46
3,Granada,1216.14
3,Deportivo,1278.75
3,Real Sociedad,1350.74
3,CD Castellón,871.86
3,CE Sabadell,981.29
3,Sporting,1099.84
3,CD Alcoyano,924.12
3,Gimnàstic de Tarragona,952.8
3,Valladolid,1292.06
3,Málaga,1212.94
3,UE Lleida,905.63
3,Atlético Tetuán,1038.93
3,Las Palmas,1368.22
3,Real Jaén,1151.71
3,Osasuna,1387.64
3,Alavés,1150.92
3,CyD Leonesa,1081.04
3,CD Condal,1220.91
3,Elche,1508.38
3,Mallorca,1387.57
3,Tenerife,1293.71
3,Córdoba,1503.69
3,Pontevedra CF,1387.79
3,Levante,1362.17
4,Betis,1350.39
4,Athletic,1495.77
4,Real Madrid,1724.73
4,Zaragoza,1595.8
4,Hércules CF,1061.96
4,Barcelona,1542.64
4,Real Racing,1321.52
4,Celta,1096.89
4,Sevilla,1397.81
4,Valencia,1624.44
4,Atlético,1639.72
4,Espanyol,1416.16
4,Real Murcia,1360.14
4,Real Oviedo,1339.46
4,Granada,1216.14
4,Deportivo,1278.75
4,Real Sociedad,1350.74
4,CD Castellón,871.86
4,CE Sabadell,978.48
4,Sporting,1099.84
4,CD Alcoyano,924.12
4,Gimnàstic de Tarragona,952.8
4,Valladolid,1292.06
4,Málaga,1210.64
4,UE Lleida,905.63
4,Atlético Tetuán,1038.93
4,Las Palmas,1371.03
4,Real Jaén,1151.71
4,Osasuna,1387.64
4,Alavés,1150.92
4,CyD Leonesa,1081.04
4,CD Condal,1220.91
4,Elche,1477.08
4,Mallorca,1401.0
4,Tenerife,1293.71
4,Córdoba,1518.39
4,Pontevedra CF,1421.98
4,Levante,1362.17
5,Betis,1298.79
5,Athletic,1481.88
5,Real Madrid,1731.47
5,Zaragoza,1587.56
5,Hércules CF,1061.96
5,Barcelona,1531.56
5,Real Racing,1321.52
5,Celta,1096.89
5,Sevilla,1406.05
5,Valencia,1635.52
5,Atlético,1653.61
5,Espanyol,1407.66
5,Real Murcia,1360.14
5,Real Oviedo,1339.46
5,Granada,1216.14
5,Deportivo,1278.75
5,Real Sociedad,1350.74
5,CD Castellón,871.86
5,CE Sabadell,1030.08
5,Sporting,1099.84
5,CD Alcoyano,924.12
5,Gimnàstic de Tarragona,952.8
5,Valladolid,1292.06
5,Málaga,1219.14
5,UE Lleida,905.63
5,Atlético Tetuán,1038.93
5,Las Palmas,1375.77
5,Real Jaén,1151.71
5,Osasuna,1387.64
5,Alavés,1150.92
5,CyD Leonesa,1081.04
5,CD Condal,1220.91
5,Elche,1472.34
5,Mallorca,1373.9
5,Tenerife,1293.71
5,Córdoba,1511.65
5,Pontevedra CF,1449.08
5,Levante,1362.17
6,Betis,1316.35
6,Athletic,1493.26
6,Real Madrid,1727.94
6,Zaragoza,1574.99
6,Hércules CF,1061.96
6,Barcelona,1530.64
6,Real Racing,1321.52
6,Celta,1096.89
6,Sevilla,1409.07
6,Valencia,1645.99
6,Atlético,1657.14
6,Espanyol,1396.28
6,Real Murcia,1360.14
6,Real Oviedo,1339.46
6,Granada,1216.14
6,Deportivo,1278.75
6,Real Sociedad,1350.74
6,CD Castellón,871.86
6,CE Sabadell,1027.71
6,Sporting,1099.84
6,CD Alcoyano,924.12
6,Gimnàstic de Tarragona,952.8
6,Valladolid,1292.06
6,Málaga,1231.71
6,UE Lleida,905.63
6,Atlético Tetuán,1038.93
6,Las Palmas,1358.21
6,Real Jaén,1151.71
6,Osasuna,1387.64
6,Alavés,1150.92
6,CyD Leonesa,1081.04
6,CD Condal,1220.91
6,Elche,1469.32
6,Mallorca,1363.43
6,Tenerife,1293.71
6,Córdoba,1512.57
6,Pontevedra CF,1451.45
6,Levante,1362.17
7,Betis,1355.86
7,Athletic,1521.39
7,Real Madrid,1716.07
7,Zaragoza,1546.86
7,Hércules CF,1061.96
7,Barcelona,1511.86
7,Real Racing,1321.52
7,Celta,1096.89
7,Sevilla,1392.56
7,Valencia,1646.79
7,Atlético,1675.92
7,Espanyol,1408.15
7,Real Murcia,1360.14
7,Real Oviedo,1339.46
7,Granada,1216.14
7,Deportivo,1278.75
7,Real Sociedad,1350.74
7,CD Castellón,871.86
7,CE Sabadell,1026.91
7,Sporting,1099.84
7,CD Alcoyano,924.12
7,Gimnàstic de Tarragona,952.8
7,Valladolid,1292.06
