Año,Equipo,ELO
1928/1929,Arenas de Getxo,1454.04
1928/1929,Espanyol,1464.42
1928/1929,Real Madrid,1568.82
1928/1929,Real Sociedad,1499.37
1928/1929,Real Racing,1416.18
1928/1929,Barcelona,1622.07
1928/1929,Athletic,1525.59
1928/1929,Atlético,1512.89
1928/1929,Real Unión,1448.13
1928/1929,CE Europa,1488.49
1929/1930,Arenas de Getxo,1560.69
1929/1930,Espanyol,1557.96
1929/1930,Real Madrid,1526.03
1929/1930,Real Sociedad,1449.78
1929/1930,Real Racing,1378.01
1929/1930,Barcelona,1564.48
1929/1930,Athletic,1708.61
1929/1930,Atlético,1398.66
1929/1930,Real Unión,1440.43
1929/1930,CE Europa,1415.35
1930/1931,Arenas de Getxo,1509.46
1930/1931,Espanyol,1444.11
1930/1931,Real Madrid,1522.2
1930/1931,Real Sociedad,1510.08
1930/1931,Real Racing,1562.58
1930/1931,Barcelona,1584.69
1930/1931,Athletic,1684.37
1930/1931,Atlético,1373.66
1930/1931,Real Unión,1469.83
1930/1931,CE Europa,1399.21
1930/1931,Alavés,1414.81
1931/1932,Arenas de Getxo,1498.88
1931/1932,Espanyol,1456.03
1931/1932,Real Madrid,1654.78
1931/1932,Real Sociedad,1485.08
1931/1932,Real Racing,1554.54
1931/1932,Barcelona,1620.41
1931/1932,Athletic,1687.71
1931/1932,Atlético,1348.66
1931/1932,Real Unión,1382.25
1931/1932,CE Europa,1374.21
1931/1932,Alavés,1375.5
1931/1932,Donostia FC,1485.28
1931/1932,Valencia,1476.67
1932/1933,Arenas de Getxo,1529.79
1932/1933,Espanyol,1498.41
1932/1933,Real Madrid,1727.42
1932/1933,Real Sociedad,1460.08
1932/1933,Real Racing,1478.37
1932/1933,Barcelona,1579.83
1932/1933,Athletic,1717.8
1932/1933,Atlético,1323.66
1932/1933,Real Unión,1357.25
1932/1933,CE Europa,1349.21
1932/1933,Alavés,1370.21
1932/1933,Donostia FC,1490.63
1932/1933,Valencia,1429.69
1932/1933,Betis,1487.65
1933/1934,Arenas de Getxo,1384.35
1933/1934,Espanyol,1524.55
1933/1934,Real Madrid,1707.43
1933/1934,Real Sociedad,1435.08
1933/1934,Real Racing,1535.17
1933/1934,Barcelona,1543.82
1933/1934,Athletic,1721.6
1933/1934,Atlético,1298.66
1933/1934,Real Unión,1332.25
1933/1934,CE Europa,1324.21
1933/1934,Alavés,1345.21
1933/1934,Donostia FC,1501.65
1933/1934,Valencia,1459.09
1933/1934,Betis,1518.11
1933/1934,Real Oviedo,1543.82
1934/1935,Arenas de Getxo,1278.3
1934/1935,Espanyol,1460.77
1934/1935,Real Madrid,1705.34
1934/1935,Real Sociedad,1410.08
1934/1935,Real Racing,1476.94
1934/1935,Barcelona,1605.75
1934/1935,Athletic,1627.9
1934/1935,Atlético,1444.42
1934/1935,Real Unión,1307.25
1934/1935,CE Europa,1299.21
1934/1935,Alavés,1320.21
1934/1935,Donostia FC,1313.52
1934/1935,Valencia,1483.44
1934/1935,Betis,1650.61
1934/1935,Real Oviedo,1592.18
1934/1935,Sevilla,1599.08
1935/1936,Arenas de Getxo,1253.3
1935/1936,Espanyol,1454.76
1935/1936,Real Madrid,1700.66
1935/1936,Real Sociedad,1385.08
1935/1936,Real Racing,1589.45
1935/1936,Barcelona,1587.71
1935/1936,Athletic,1699.21
1935/1936,Atlético,1474.36
1935/1936,Real Unión,1282.25
1935/1936,CE Europa,1274.21
1935/1936,Alavés,1295.21
1935/1936,Donostia FC,1288.52
1935/1936,Valencia,1495.25
1935/1936,Betis,1514.22
1935/1936,Real Oviedo,1641.17
1935/1936,Sevilla,1498.02
1935/1936,Hércules CF,1531.14
1935/1936,Osasuna,1460.48
1939/1940,Betis,1395.57
1939/1940,Athletic,1594.98
1939/1940,Real Madrid,1553.89
1939/1940,Zaragoza,1449.26
1939/1940,Hércules CF,1526.95
1939/1940,Barcelona,1461.85
1939/1940,Real Racing,1378.16
1939/1940,Celta,1474.27
1939/1940,Sevilla,1579.78
1939/1940,Valencia,1512.76
1939/1940,Atlético,1609.73
1939/1940,Espanyol,1462.8
1940/1941,Betis,1370.57
1940/1941,Athletic,1700.12
1940/1941,Real Madrid,1566.85
1940/1941,Zaragoza,1391.98
1940/1941,Hércules CF,1342.62
1940/1941,Barcelona,1609.87
1940/1941,Real Racing,1353.16
1940/1941,Celta,1430.46
1940/1941,Sevilla,1589.13
1940/1941,Valencia,1609.94
1940/1941,Atlético,1725.04
1940/1941,Espanyol,1473.29
1940/1941,Real Murcia,1390.4
1940/1941,Real Oviedo,1396.57
1941/1942,Betis,1345.57
1941/1942,Athletic,1601.63
1941/1942,Real Madrid,1648.71
1941/1942,Zaragoza,1366.98
1941/1942,Hércules CF,1346.46
1941/1942,Barcelona,1533.77
1941/1942,Real Racing,1328.16
1941/1942,Celta,1491.78
1941/1942,Sevilla,1540.53
1941/1942,Valencia,1763.67
1941/1942,Atlético,1575.28
1941/1942,Espanyol,1497.64
1941/1942,Real Murcia,1365.4
1941/1942,Real Oviedo,1488.56
1941/1942,Granada,1597.65
1941/1942,Deportivo,1532.23
1941/1942,Real Sociedad,1308.84
1941/1942,CD Castellón,1517.14
1942/1943,Betis,1269.52
1942/1943,Athletic,1672.13
1942/1943,Real Madrid,1568.51
1942/1943,Zaragoza,1330.77
1942/1943,Hércules CF,1321.46
1942/1943,Barcelona,1681.26
1942/1943,Real Racing,1303.16
1942/1943,Celta,1600.72
1942/1943,Sevilla,1633.26
1942/1943,Valencia,1556.09
1942/1943,Atlético,1580.32
1942/1943,Espanyol,1480.03
1942/1943,Real Murcia,1340.4
1942/1943,Real Oviedo,1517.82
1942/1943,Granada,1518.06
1942/1943,Deportivo,1559.41
1942/1943,Real Sociedad,1283.84
1942/1943,CD Castellón,1533.24
1943/1944,Betis,1244.52
1943/1944,Athletic,1530.99
1943/1944,Real Madrid,1603.49
1943/1944,Zaragoza,1305.77
1943/1944,Hércules CF,1296.46
1943/1944,Barcelona,1578.29
1943/1944,Real Racing,1278.16
1943/1944,Celta,1320.56
1943/1944,Sevilla,1640.36
1943/1944,Valencia,1731.44
1943/1944,Atlético,1648.41
1943/1944,Espanyol,1539.94
1943/1944,Real Murcia,1315.4
1943/1944,Real Oviedo,1619.85
1943/1944,Granada,1550.71
1943/1944,Deportivo,1410.11
1943/1944,Real Sociedad,1358.76
1943/1944,CD Castellón,1594.14
1943/1944,CE Sabadell,1557.64
1944/1945,Betis,1219.52
1944/1945,Athletic,1607.16
1944/1945,Real Madrid,1735.37
1944/1945,Zaragoza,1280.77
1944/1945,Hércules CF,1271.46
1944/1945,Barcelona,1724.63
1944/1945,Real Racing,1253.16
1944/1945,Celta,1295.56
1944/1945,Sevilla,1540.95
1944/1945,Valencia,1680.02
1944/1945,Atlético,1636.82
1944/1945,Espanyol,1566.86
1944/1945,Real Murcia,1406.33
1944/1945,Real Oviedo,1585.99
1944/1945,Granada,1486.03
1944/1945,Deportivo,1392.14
1944/1945,Real Sociedad,1333.76
1944/1945,CD Castellón,1478.95
1944/1945,CE Sabadell,1396.57
1944/1945,Sporting,1582.95
1945/1946,Betis,1194.52
1945/1946,Athletic,1623.27
1945/1946,Real Madrid,1652.97
1945/1946,Zaragoza,1255.77
1945/1946,Hércules CF,1315.27
1945/1946,Barcelona,1704.73
1945/1946,Real Racing,1228.16
1945/1946,Celta,1481.93
1945/1946,Sevilla,1664.67
1945/1946,Valencia,1587.41
1945/1946,Atlético,1611.83
1945/1946,Espanyol,1506.42
1945/1946,Real Murcia,1437.59
1945/1946,Real Oviedo,1575.1
