Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (1993/1994),04.09.1993,,Osasuna,-,Real Madrid,1:4 (0:2),
Jornada 1 (1993/1994),05.09.1993,,Barcelona,-,Real Sociedad,3:0 (1:0),
Jornada 1 (1993/1994),,,Zaragoza,-,Sevilla,1:2 (0:1),
Jornada 1 (1993/1994),,,Valladolid,-,Sporting,0:1 (0:0),
Jornada 1 (1993/1994),,,Deportivo,-,Celta,0:0 (0:0),
Jornada 1 (1993/1994),,,Real Oviedo,-,Valencia,0:3 (0:2),
Jornada 1 (1993/1994),,,Atlético,-,CD Logroñés,1:0 (1:0),
Jornada 1 (1993/1994),,,Real Racing,-,Rayo,1:0 (0:0),
Jornada 1 (1993/1994),,,Tenerife,-,UE Lleida,1:0 (0:0),
Jornada 1 (1993/1994),,,Athletic,-,Albacete,4:1 (3:0),
Jornada 2 (1993/1994),11.09.1993,,Albacete,-,Barcelona,0:0 (0:0),
Jornada 2 (1993/1994),,,Sporting,-,Deportivo,0:2 (0:0),
Jornada 2 (1993/1994),,,Valencia,-,Atlético,2:2 (1:2),
Jornada 2 (1993/1994),12.09.1993,,Celta,-,Real Oviedo,1:1 (1:1),
Jornada 2 (1993/1994),,,Real Sociedad,-,Zaragoza,2:2 (2:1),
Jornada 2 (1993/1994),,,Sevilla,-,Osasuna,1:1 (0:0),
Jornada 2 (1993/1994),,,CD Logroñés,-,Real Racing,0:1 (0:1),
Jornada 2 (1993/1994),,,Rayo,-,Tenerife,4:3 (2:2),
Jornada 2 (1993/1994),,,UE Lleida,-,Athletic,1:2 (1:1),
Jornada 2 (1993/1994),,,Real Madrid,-,Valladolid,1:3 (0:1),
Jornada 3 (1993/1994),18.09.1993,,Deportivo,-,Real Madrid,4:0 (1:0),
Jornada 3 (1993/1994),,,Valladolid,-,Sevilla,2:2 (1:1),
Jornada 3 (1993/1994),19.09.1993,,Real Oviedo,-,Sporting,0:1 (0:0),
Jornada 3 (1993/1994),,,Athletic,-,Barcelona,0:0 (0:0),
Jornada 3 (1993/1994),,,UE Lleida,-,Rayo,0:1 (0:0),
Jornada 3 (1993/1994),,,Tenerife,-,CD Logroñés,2:0 (2:0),
